,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
0,EK,2370,EMIRATES,2024-02-12T10:10:00,2024-02-12T11:03:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
1,FZ,1550,FLYDUBAI,2024-02-12T10:10:00,2024-02-12T11:03:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
3,A4,5026,AZIMUTH AIRLINES,2024-02-12T11:05:00,2024-02-12T11:31:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,39-41,B,DEPARTED,המריאה
4,IZ,413,ARKIA  ISRAELI  AIRLINES,2024-02-12T11:10:00,2024-02-12T11:34:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,60-64,C,DEPARTED,המריאה
9,LY,613,EL AL ISRAEL AIRLINES,2024-02-12T11:45:00,2024-02-12T12:08:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
10,AA,9261,AMERICAN AIRLINES,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
11,AM,7863,AERO MEXICO,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
12,LY,315,EL AL ISRAEL AIRLINES,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
13,SK,3181,SAS,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
15,LY,973,EL AL ISRAEL AIRLINES,2024-02-12T11:50:00,2024-02-12T12:16:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,DEPARTED,המריאה
16,6H,047,ISRAIR AIRLINES,2024-02-12T11:45:00,2024-02-12T12:19:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G6,G,DEPARTED,המריאה
18,HY,302,UZBEKISTAN AIR,2024-02-12T12:35:00,2024-02-12T12:50:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,70-74,C,DEPARTED,המריאה
23,FR,1843,RYANAIR,2024-02-12T12:10:00,2024-02-12T13:01:00,D,FKB,BADEN BADEN,באדן באדן,BADEN BADEN,גרמניה,GERMANY,3,56-59,C,DEPARTED,המריאה
24,BZ,112,BLUE BIRD AIRWAYS,2024-02-12T12:40:00,2024-02-12T13:02:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,36-38,B,DEPARTED,המריאה
25,EK,2451,EMIRATES,2024-02-12T11:35:00,2024-02-12T13:12:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
26,FZ,1082,FLYDUBAI,2024-02-12T11:35:00,2024-02-12T13:12:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
30,LY,011,EL AL ISRAEL AIRLINES,2024-02-12T13:00:00,2024-02-12T13:23:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
31,A3,927,AEGEAN  AIRLINES,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
32,EK,4978,EMIRATES,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
33,FB,1514,BULGARIA  AIR,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
34,JU,7621,AIR SERBIA,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
37,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-12T13:20:00,2024-02-12T13:49:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
47,LY,375,EL AL ISRAEL AIRLINES,2024-02-12T13:40:00,2024-02-12T14:09:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
48,TP,8920,AIR PORTUGAL,2024-02-12T13:40:00,2024-02-12T14:09:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
