_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
1,EK,2370,EMIRATES,2024-02-12T10:10:00,2024-02-12T11:03:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
2,FZ,1550,FLYDUBAI,2024-02-12T10:10:00,2024-02-12T11:03:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
3,FR,1842,RYANAIR,2024-02-12T11:20:00,2024-02-12T11:23:00,A,FKB,BADEN BADEN,באדן באדן,BADEN BADEN,גרמניה,GERMANY,3,,,LANDED,נחתה
4,A4,5026,AZIMUTH AIRLINES,2024-02-12T11:05:00,2024-02-12T11:31:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,39-41,B,DEPARTED,המריאה
5,IZ,413,ARKIA  ISRAELI  AIRLINES,2024-02-12T11:10:00,2024-02-12T11:34:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,60-64,C,DEPARTED,המריאה
6,EK,2450,EMIRATES,2024-02-12T10:20:00,2024-02-12T11:55:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
7,FZ,1081,FLYDUBAI,2024-02-12T10:20:00,2024-02-12T11:55:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
8,A3,926,AEGEAN  AIRLINES,2024-02-12T12:00:00,2024-02-12T12:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
9,JU,7620,AIR SERBIA,2024-02-12T12:00:00,2024-02-12T12:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
10,LY,613,EL AL ISRAEL AIRLINES,2024-02-12T11:45:00,2024-02-12T12:08:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
11,AA,9261,AMERICAN AIRLINES,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
12,AM,7863,AERO MEXICO,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
13,LY,315,EL AL ISRAEL AIRLINES,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
14,SK,3181,SAS,2024-02-12T09:15:00,2024-02-12T12:11:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
15,LY,542,EL AL ISRAEL AIRLINES,2024-02-12T12:05:00,2024-02-12T12:14:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
16,LY,973,EL AL ISRAEL AIRLINES,2024-02-12T11:50:00,2024-02-12T12:16:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,DEPARTED,המריאה
17,6H,047,ISRAIR AIRLINES,2024-02-12T11:45:00,2024-02-12T12:19:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G6,G,DEPARTED,המריאה
