Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
EK,2370,2024-02-12 10:10:00,2024-02-12 11:03:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1550,2024-02-12 10:10:00,2024-02-12 11:03:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FR,1842,2024-02-12 11:20:00,2024-02-12 11:23:00,A,FKB,BADEN BADEN,GERMANY,3,LANDED
A4,5026,2024-02-12 11:05:00,2024-02-12 11:31:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
IZ,413,2024-02-12 11:10:00,2024-02-12 11:34:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
EK,2450,2024-02-12 10:20:00,2024-02-12 11:55:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1081,2024-02-12 10:20:00,2024-02-12 11:55:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
A3,926,2024-02-12 12:00:00,2024-02-12 12:05:00,A,ATH,ATHENS,GREECE,3,LANDED
JU,7620,2024-02-12 12:00:00,2024-02-12 12:05:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,613,2024-02-12 11:45:00,2024-02-12 12:08:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
AA,9261,2024-02-12 09:15:00,2024-02-12 12:11:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AM,7863,2024-02-12 09:15:00,2024-02-12 12:11:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,315,2024-02-12 09:15:00,2024-02-12 12:11:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
SK,3181,2024-02-12 09:15:00,2024-02-12 12:11:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,542,2024-02-12 12:05:00,2024-02-12 12:14:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,973,2024-02-12 11:50:00,2024-02-12 12:16:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
6H,47,2024-02-12 11:45:00,2024-02-12 12:19:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
IZ,808,2024-02-12 12:35:00,2024-02-12 12:35:00,A,ETM,RAMON,ISRAEL,3,LANDED
HY,302,2024-02-12 12:35:00,2024-02-12 12:50:00,D,TAS,TASHKENT,UZBEKISTAN,3,DEPARTED
EY,593,2024-02-12 11:20:00,2024-02-12 12:56:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,LANDED
LY,9600,2024-02-12 11:20:00,2024-02-12 12:56:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,LANDED
EK,2363,2024-02-12 11:40:00,2024-02-12 12:59:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1211,2024-02-12 11:40:00,2024-02-12 12:59:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FR,1843,2024-02-12 12:10:00,2024-02-12 13:01:00,D,FKB,BADEN BADEN,GERMANY,3,DEPARTED
BZ,112,2024-02-12 12:40:00,2024-02-12 13:02:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
EK,2451,2024-02-12 11:35:00,2024-02-12 13:12:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1082,2024-02-12 11:35:00,2024-02-12 13:12:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
B6,6466,2024-02-12 13:30:00,2024-02-12 13:21:00,A,BOS,BOSTON,UNITED STATES,3,LANDED
DL,7436,2024-02-12 13:30:00,2024-02-12 13:21:00,A,BOS,BOSTON,UNITED STATES,3,LANDED
LY,16,2024-02-12 13:30:00,2024-02-12 13:21:00,A,BOS,BOSTON,UNITED STATES,3,LANDED
LY,11,2024-02-12 13:00:00,2024-02-12 13:23:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
A3,927,2024-02-12 12:50:00,2024-02-12 13:32:00,D,ATH,ATHENS,GREECE,3,DEPARTED
EK,4978,2024-02-12 12:50:00,2024-02-12 13:32:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1514,2024-02-12 12:50:00,2024-02-12 13:32:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7621,2024-02-12 12:50:00,2024-02-12 13:32:00,D,ATH,ATHENS,GREECE,3,DEPARTED
BZ,701,2024-02-12 13:30:00,2024-02-12 13:35:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,574,2024-02-12 13:35:00,2024-02-12 13:40:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
IZ,815,2024-02-12 13:20:00,2024-02-12 13:49:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
LY,552,2024-02-12 13:45:00,2024-02-12 13:51:00,A,SOF,SOFIA,BULGARIA,3,LANDED
6H,886,2024-02-12 13:55:00,2024-02-12 13:56:00,A,BUS,BATUMI,GEORGIA,3,LANDED
AM,7874,2024-02-12 13:50:00,2024-02-12 13:59:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED
